horizon,fold,model,MAE,RMSE,R2,MedAE
7,1,Rolling7,22.220687141418143,29.81809844619286,-0.20774281088420365,16.905978335987452
7,1,LastValidAQI,29.10169491525424,40.59097336408759,-1.2380691660728536,20.0
7,1,MonthlyMedian,32.70480225988702,39.41029827557122,-1.109764673696779,28.999999999999993
7,2,Ridge | AR + Weather,31.250292927605003,48.25180054885459,-0.08911739566905097,19.332334283685135
7,2,Naive,39.21468926553672,59.53743540571147,-0.6581655708964076,24.0
7,2,Rolling7,34.35556865130277,52.09017013283671,-0.2692851486665171,22.00925463410753
7,2,LastValidAQI,39.00847457627118,59.59996113448094,-0.6616501835920754,23.49999999999998
7,2,MonthlyMedian,28.918079096045197,42.71314117901575,0.1465645686024375,21.000000000000018
7,3,Ridge | AR + Weather,28.855508401409622,43.146265171265235,-0.10094759885803373,19.471233368744144
7,3,Naive,35.64971751412429,53.85227754338873,-0.7150957978198955,20.000000000000018
7,3,Rolling7,28.789999298942615,43.09922575389302,-0.09854833194656809,17.01039233362993
7,3,LastValidAQI,35.83050847457627,54.02703863765626,-0.7262454975684403,20.000000000000018
7,3,MonthlyMedian,26.728813559322035,38.74560299456481,0.1121796806085561,19.0
7,4,Ridge | AR + Weather,17.1588718685846,23.79727385083324,0.1751658536382873,13.300352048680107
7,4,Naive,22.6045197740113,31.301071261969497,-0.4270218318846013,16.999999999999986
7,4,Rolling7,19.251521421149636,27.202411473437753,-0.0777723211703798,13.518776823241787
7,4,LastValidAQI,24.796610169491526,33.75685743265824,-0.6597253752734535,19.999999999999986
7,4,MonthlyMedian,18.584745762711865,25.468380751023336,0.0552543897262715,14.000000000000005
7,5,Ridge | AR + Weather,19.722214840941625,26.859166930823797,0.12562661136392872,14.875187492982725
7,5,Naive,24.231638418079097,34.90819274760518,-0.4769526939230355,15.999999999999996
7,5,Rolling7,21.522388565683496,29.87405896380268,-0.08168379238053736,14.615373385538994
7,5,LastValidAQI,24.12146892655367,34.77819142609426,-0.4659725621374293,15.999999999999988
7,5,MonthlyMedian,20.5635593220339,28.815762419929268,-0.006403374645884474,14.999999999999982
